column_name,sfs_mask
floor_area_sqm,True
remaining_lease,True
nearest_mrt_dist,True
nearest_mall_dist,True
nearest_school_dist,False
nearest_bus_stop_dist,False
nearest_primary_school_dist,False
within_1_km_to_nearest_primary_school,False
total_nearby_mrt,True
total_nearby_mall,False
total_nearby_school,False
total_nearby_primary_school,False
total_nearby_bus_stop,False
total_resales_in_town,True
total_resales_in_block,False
total_resales_in_street,False
month_2023-01,False
month_2023-02,False
town_ANG MO KIO,False
town_BEDOK,False
town_BISHAN,False
town_BUKIT BATOK,True
town_BUKIT MERAH,True
town_BUKIT PANJANG,True
town_CENTRAL AREA,True
town_CHOA CHU KANG,True
town_CLEMENTI,False
town_GEYLANG,False
town_HOUGANG,True
town_JURONG EAST,True
town_JURONG WEST,True
town_KALLANG/WHAMPOA,False
town_MARINE PARADE,True
town_PASIR RIS,True
town_PUNGGOL,False
town_QUEENSTOWN,False
town_SEMBAWANG,True
town_SENGKANG,True
town_SERANGOON,True
town_TAMPINES,False
town_TOA PAYOH,False
town_WOODLANDS,False
town_YISHUN,False
flat_type_2 ROOM,False
flat_type_3 ROOM,False
flat_type_4 ROOM,False
flat_type_5 ROOM,False
flat_type_EXECUTIVE,False
block_1,False
block_101,False
block_102,False
block_103,False
block_104,False
block_104A,False
block_105,False
block_107,False
block_108,False
block_108C,False
block_109,False
block_11,False
block_110,False
block_111,False
block_112,False
block_113,False
block_114,False
block_115,False
block_115A,False
block_115C,False
block_116,False
block_117,False
block_118,False
block_12,False
block_120,False
block_121,False
block_122,False
block_123,False
block_124,False
block_125,False
block_126,False
block_128,False
block_128B,False
block_129,False
block_13,False
block_131,False
block_132,False
block_139,False
block_14,False
block_142,False
block_143,False
block_149,False
block_151,False
block_152,False
block_154,False
block_155,False
block_157,False
block_158,False
block_16,False
block_163,False
block_165,False
block_166B,False
block_168A,False
block_18,False
block_180B,False
block_181,False
block_187,False
block_2,True
block_20,False
block_202,False
block_206,False
block_207,False
block_209,False
block_21,False
block_211,False
block_22,False
block_225,False
block_23,False
block_230,False
block_231,False
block_234,False
block_236,False
block_24,False
block_244,False
block_252,False
block_253,False
block_263,False
block_271,False
block_272,False
block_28,False
block_29,False
block_293A,False
block_293C,False
block_293D,False
block_3,False
block_30,False
block_302C,False
block_306,False
block_31,False
block_312,False
block_319,False
block_32,False
block_322,False
block_326,False
block_327,False
block_328,False
block_331,False
block_34,False
block_345,False
block_349,False
block_359C,False
block_36,False
block_4,False
block_40,False
block_403,False
block_411,False
block_415,False
block_417,False
block_417A,False
block_419,False
block_424,False
block_425,False
block_428,False
block_43,False
block_44,False
block_446,False
block_446A,False
block_457,False
block_459,False
block_46,False
block_467,False
block_484,False
block_5,False
block_503,False
block_509,False
block_511,False
block_512,False
block_517,False
block_52,False
block_533,False
block_536,False
block_540,False
block_541,False
block_545,False
block_552,False
block_574B,False
block_590B,False
block_626,False
block_629,False
block_643,False
block_659B,False
block_659C,False
block_660,False
block_673B,False
block_674A,False
block_676A,False
block_677A,False
block_684B,False
block_693A,False
block_694B,False
block_694C,False
block_7,False
block_701,False
block_702,False
block_704,False
block_709,False
block_714,False
block_728,False
block_770,False
block_785D,False
block_8,False
block_9,False
block_93B,False
block_997B,False
street_name_ADMIRALTY DR,False
street_name_ADMIRALTY LINK,False
street_name_ALJUNIED CRES,False
street_name_ANCHORVALE CRES,False
street_name_ANCHORVALE LINK,False
street_name_ANCHORVALE RD,False
street_name_ANG MO KIO AVE 1,False
street_name_ANG MO KIO AVE 10,False
street_name_ANG MO KIO AVE 3,False
street_name_ANG MO KIO AVE 4,False
street_name_ANG MO KIO AVE 5,False
street_name_ANG MO KIO AVE 6,False
street_name_ANG MO KIO AVE 8,False
street_name_ANG MO KIO ST 32,False
street_name_ANG MO KIO ST 44,False
street_name_ANG MO KIO ST 51,True
street_name_ANG MO KIO ST 52,False
street_name_BALAM RD,False
street_name_BANGKIT RD,True
street_name_BEDOK NTH AVE 1,False
street_name_BEDOK NTH AVE 2,False
street_name_BEDOK NTH RD,False
street_name_BEDOK NTH ST 2,False
street_name_BEDOK NTH ST 3,False
street_name_BEDOK RESERVOIR CRES,False
street_name_BEDOK RESERVOIR RD,False
street_name_BEDOK RESERVOIR VIEW,False
street_name_BEDOK STH AVE 2,False
street_name_BEDOK STH RD,False
street_name_BENDEMEER RD,False
street_name_BISHAN ST 12,False
street_name_BISHAN ST 13,False
street_name_BISHAN ST 24,False
street_name_BOON LAY AVE,False
street_name_BOON LAY DR,True
street_name_BOON LAY PL,False
street_name_BOON TIONG RD,False
street_name_BT BATOK CTRL,False
street_name_BT BATOK EAST AVE 5,False
street_name_BT BATOK EAST AVE 6,False
street_name_BT BATOK ST 21,False
street_name_BT BATOK ST 22,False
street_name_BT BATOK ST 24,False
street_name_BT BATOK ST 31,False
street_name_BT BATOK ST 52,False
street_name_BT BATOK WEST AVE 5,False
street_name_BT BATOK WEST AVE 6,False
street_name_BT BATOK WEST AVE 8,False
street_name_BT BATOK WEST AVE 9,False
street_name_BT PANJANG RING RD,False
street_name_BUANGKOK CRES,False
street_name_C'WEALTH DR,False
street_name_CANBERRA CRES,False
street_name_CANBERRA RD,False
street_name_CANBERRA ST,False
street_name_CANBERRA WALK,False
street_name_CANTONMENT RD,True
street_name_CHAI CHEE RD,False
street_name_CHOA CHU KANG AVE 1,False
street_name_CHOA CHU KANG AVE 2,False
street_name_CHOA CHU KANG AVE 3,False
street_name_CHOA CHU KANG AVE 4,False
street_name_CHOA CHU KANG AVE 5,False
street_name_CHOA CHU KANG AVE 7,False
street_name_CHOA CHU KANG CRES,False
street_name_CHOA CHU KANG CTRL,False
street_name_CHOA CHU KANG NTH 6,False
street_name_CHOA CHU KANG ST 51,False
street_name_CHOA CHU KANG ST 52,False
street_name_CHOA CHU KANG ST 62,False
street_name_CIRCUIT RD,False
street_name_CLEMENTI AVE 1,False
street_name_CLEMENTI AVE 2,False
street_name_CLEMENTI AVE 3,False
street_name_CLEMENTI AVE 4,False
street_name_CLEMENTI AVE 5,False
street_name_CLEMENTI AVE 6,False
street_name_CLEMENTI WEST ST 2,False
street_name_COMPASSVALE CRES,False
street_name_COMPASSVALE DR,False
street_name_COMPASSVALE LANE,False
street_name_COMPASSVALE LINK,False
street_name_COMPASSVALE RD,False
street_name_COMPASSVALE ST,False
street_name_COMPASSVALE WALK,False
street_name_DAWSON RD,True
street_name_DOVER CRES,False
street_name_EDGEDALE PLAINS,False
street_name_EDGEFIELD PLAINS,False
street_name_EUNOS CRES,False
street_name_FAJAR RD,False
street_name_FERNVALE LINK,False
street_name_FERNVALE RD,False
street_name_FERNVALE ST,False
street_name_GANGSA RD,False
street_name_GEYLANG BAHRU,False
street_name_GHIM MOH LINK,False
street_name_HOLLAND DR,True
street_name_HOUGANG AVE 1,False
street_name_HOUGANG AVE 10,False
street_name_HOUGANG AVE 3,False
street_name_HOUGANG AVE 4,False
street_name_HOUGANG AVE 5,False
street_name_HOUGANG AVE 8,False
street_name_HOUGANG AVE 9,False
street_name_HOUGANG ST 51,True
street_name_HOUGANG ST 61,False
street_name_HOUGANG ST 91,False
street_name_JELAPANG RD,False
street_name_JLN BAHAGIA,True
street_name_JLN BT MERAH,False
street_name_JLN MEMBINA,False
street_name_JLN TECK WHYE,False
street_name_JLN TENAGA,False
street_name_JLN TENTERAM,False
street_name_JURONG EAST AVE 1,False
street_name_JURONG EAST ST 21,False
street_name_JURONG EAST ST 24,False
street_name_JURONG EAST ST 32,False
street_name_JURONG WEST CTRL 1,False
street_name_JURONG WEST ST 41,False
street_name_JURONG WEST ST 42,True
street_name_JURONG WEST ST 52,False
street_name_JURONG WEST ST 61,False
street_name_JURONG WEST ST 64,False
street_name_JURONG WEST ST 65,False
street_name_JURONG WEST ST 73,False
street_name_JURONG WEST ST 81,False
street_name_JURONG WEST ST 91,False
street_name_JURONG WEST ST 93,False
street_name_KEAT HONG CL,False
street_name_KIM TIAN RD,False
street_name_LOR 1 TOA PAYOH,False
