floor_area_sqm,total_resales_in_town,nearest_mrt_dist,remaining_lease,town_BUKIT MERAH,flat_type_3 ROOM,street_name_CANTONMENT RD,storey_range_01 TO 03,storey_range_04 TO 06,storey_range_19 TO 21,flat_model_Apartment,flat_model_Maisonette,town_PASIR RIS,street_name_DAWSON RD,flat_model_Premium Apartment,nearest_mall_dist,total_nearby_mrt,street_name_ANG MO KIO ST 51,flat_model_New Generation,nearest_bus_stop_Blk 18,town_SEMBAWANG,flat_type_2 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_model_Standard,flat_model_Type S1,flat_model_Model A,storey_range_16 TO 18,flat_model_Simplified,flat_model_DBSS,town_MARINE PARADE,flat_model_Improved,storey_range_07 TO 09,nearest_primary_school_ZHANGDE PRIMARY SCHOOL,street_name_JLN BAHAGIA,town_BUKIT BATOK,town_BUKIT PANJANG,town_HOUGANG,town_CHOA CHU KANG,nearest_school_WOODLANDS SECONDARY SCHOOL,nearest_mrt_Admiralty,street_name_MCNAIR RD,nearest_mrt_Kallang,nearest_mall_Sun Plaza,total_resales_in_block,storey_range_10 TO 12,nearest_school_GAN ENG SENG PRIMARY SCHOOL,nearest_school_BLANGAH RISE PRIMARY SCHOOL,street_name_TELOK BLANGAH ST 31,storey_range_22 TO 24,nearest_bus_stop_Opp Blk 565,town_CENTRAL AREA,street_name_ANG MO KIO AVE 3,street_name_ANG MO KIO ST 44,nearest_school_KHENG CHENG SCHOOL,storey_range_37 TO 39,storey_range_25 TO 27,flat_type_4 ROOM,town_QUEENSTOWN,town_ANG MO KIO,town_SENGKANG,town_TAMPINES,town_WOODLANDS,nearest_mrt_Toa Payoh,street_name_CLEMENTI AVE 3,town_JURONG EAST,town_BEDOK,storey_range_31 TO 33,nearest_primary_school_RADIN MAS PRIMARY SCHOOL,nearest_mrt_Tiong Bahru,nearest_mrt_Sengkang,total_resales_in_street,nearest_mrt_Outram Park,storey_range_28 TO 30,resale_price
44.0,189,1.0039959848633804,55.4166666666667,0,0,0,1,0,0,0,0,0,0,0,1.01728492910015,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,267000.0
49.0,189,0.3044473250112844,53.5,0,0,0,0,1,0,0,0,0,0,0,0.1852571393345475,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,300000.0
44.0,189,0.4162192989454656,54.0833333333333,0,0,0,0,1,0,0,0,0,0,0,0.3944376613392621,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,280000.0
44.0,189,0.4162192989454656,54.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0.3944376613392621,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,282000.0
45.0,189,1.2805209545925167,62.0833333333333,0,0,0,1,0,0,0,0,0,0,0,1.0826320283140338,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,289800.0
67.0,189,1.2991503814432972,54.0833333333333,0,1,0,0,1,0,0,0,0,0,0,1.0033370829726775,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,380000.0
70.0,189,0.7898261949172128,88.75,0,1,0,0,0,0,0,0,0,0,0,0.6668725468241067,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,635000.0
67.0,189,1.2991503814432972,54.0833333333333,0,1,0,0,0,0,0,0,0,0,0,1.0033370829726775,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,380000.0
73.0,189,0.5895997969280269,53.3333333333333,0,1,0,0,1,0,0,0,0,0,0,0.4925213155750664,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,365000.0
73.0,189,0.5895997969280269,53.3333333333333,0,1,0,0,0,0,0,0,0,0,0,0.4925213155750664,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,418000.0
67.0,189,1.1149227911837911,53.5833333333333,0,1,0,0,1,0,0,0,0,0,0,0.9288830606657572,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,380000.0
89.0,189,1.1445186596584973,56.0833333333333,0,1,0,0,0,0,0,0,0,0,0,0.6941939403114014,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,425000.0
74.0,189,0.7216813017183047,55.75,0,1,0,1,0,0,0,0,0,0,0,0.7745139912315523,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,365000.0
68.0,189,0.806900427256423,57.0833333333333,0,1,0,0,1,0,0,0,0,0,0,0.8973007855174386,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,345000.0
75.0,189,1.0575523663981647,56.0833333333333,0,1,0,0,1,0,0,0,0,0,0,0.7576290991068491,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,390000.0
67.0,189,1.2330347033503255,60.1666666666667,0,1,0,0,1,0,0,0,0,0,0,0.8363017965586911,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,341888.0
75.0,189,0.8927020953223367,56.1666666666667,0,1,0,1,0,0,0,0,0,0,0,0.933195899104886,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,388000.0
74.0,189,0.7457100071392344,55.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0.7917386558875541,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,400000.0
68.0,189,0.806900427256423,57.0833333333333,0,1,0,0,0,0,0,0,0,0,0,0.8973007855174386,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,360000.0
68.0,189,0.926673221126662,56.1666666666667,0,1,0,0,1,0,0,0,0,0,0,1.058476388566315,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,360000.0
68.0,189,0.9983963637292608,56.0833333333333,0,1,0,0,0,0,0,0,0,0,0,0.8183991283418955,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,392000.0
82.0,189,1.0754679873783044,56.1666666666667,0,1,0,0,1,0,0,0,0,0,0,0.9175590811482588,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,428000.0
74.0,189,0.8359178254174471,55.5833333333333,0,1,0,0,0,0,0,0,0,0,0,0.8947096577399125,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,402800.0
74.0,189,0.8359178254174471,55.5833333333333,0,1,0,0,1,0,0,0,0,0,0,0.8947096577399125,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,372000.0
82.0,189,1.0754679873783044,56.0833333333333,0,1,0,0,0,0,0,0,0,0,0,0.9175590811482588,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,390000.0
68.0,189,0.806900427256423,57.0,0,1,0,1,0,0,0,0,0,0,0,0.8973007855174386,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,345000.0
67.0,189,0.8810472402398558,53.4166666666667,0,1,0,0,1,0,0,0,0,0,0,0.5652524849847239,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,355000.0
67.0,189,0.9537843148495548,52.3333333333333,0,1,0,1,0,0,0,0,0,0,0,0.6978921041439304,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,338000.0
