column_name,selected_by,total_selected
floor_area_sqm,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",6
total_resales_in_town,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",6
nearest_mrt_dist,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",6
remaining_lease,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",6
town_BUKIT MERAH,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",6
flat_type_3 ROOM,"['f_reg', 'gb', 'lasso', 'mutual_info', 'ridge']",5
street_name_CANTONMENT RD,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
storey_range_01 TO 03,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
storey_range_04 TO 06,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
storey_range_19 TO 21,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
flat_model_Apartment,"['f_reg', 'gb', 'mutual_info', 'ridge', 'sfs']",5
flat_model_Maisonette,"['f_reg', 'gb', 'lasso', 'mutual_info', 'sfs']",5
town_PASIR RIS,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
street_name_DAWSON RD,"['f_reg', 'gb', 'lasso', 'ridge', 'sfs']",5
flat_model_Premium Apartment,"['f_reg', 'lasso', 'mutual_info', 'ridge', 'sfs']",5
nearest_mall_dist,"['gb', 'lasso', 'mutual_info', 'ridge', 'sfs']",5
total_nearby_mrt,"['f_reg', 'gb', 'lasso', 'mutual_info', 'sfs']",5
street_name_ANG MO KIO ST 51,"['f_reg', 'gb', 'lasso', 'mutual_info', 'sfs']",5
flat_model_New Generation,"['f_reg', 'lasso', 'mutual_info', 'ridge']",4
nearest_bus_stop_Blk 18,"['gb', 'lasso', 'ridge', 'sfs']",4
town_SEMBAWANG,"['gb', 'lasso', 'ridge', 'sfs']",4
flat_type_2 ROOM,"['f_reg', 'gb', 'mutual_info', 'ridge']",4
flat_type_5 ROOM,"['f_reg', 'gb', 'mutual_info', 'ridge']",4
flat_type_EXECUTIVE,"['f_reg', 'gb', 'mutual_info', 'ridge']",4
flat_model_Standard,"['gb', 'lasso', 'mutual_info', 'ridge']",4
flat_model_Type S1,"['f_reg', 'lasso', 'ridge', 'sfs']",4
flat_model_Model A,"['lasso', 'mutual_info', 'ridge', 'sfs']",4
storey_range_16 TO 18,"['f_reg', 'gb', 'ridge', 'sfs']",4
flat_model_Simplified,"['f_reg', 'mutual_info', 'ridge', 'sfs']",4
flat_model_DBSS,"['f_reg', 'gb', 'lasso', 'sfs']",4
town_MARINE PARADE,"['lasso', 'mutual_info', 'ridge', 'sfs']",4
flat_model_Improved,"['lasso', 'mutual_info', 'ridge', 'sfs']",4
storey_range_07 TO 09,"['gb', 'lasso', 'ridge', 'sfs']",4
nearest_primary_school_ZHANGDE PRIMARY SCHOOL,"['f_reg', 'gb', 'lasso', 'sfs']",4
street_name_JLN BAHAGIA,"['gb', 'lasso', 'ridge', 'sfs']",4
town_BUKIT BATOK,"['lasso', 'mutual_info', 'ridge', 'sfs']",4
